(('W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'O'), 0): [-48.86807643305158, -48.79201907063808, -48.86807643305158, -48.789745125041705]
(('W', 'E', 'E', 'W', 'E', 'O', 'W', 'E', 'O'), 0): [-48.70446085902088, -48.7050298308082, -48.77295372842442, -48.77295372842442]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'O', 'O'), 0): [-48.77295372842442, -48.77295372842442, -48.71533358933675, -48.712164451956355]
(('W', 'E', 'O', 'W', 'E', 'O', 'W', 'E', 'E'), 0): [-48.61534340988083, -48.61823569083772, -48.67782151057548, -48.67782151057548]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'O'), 0): [-48.67782151057548, -48.67782151057548, -48.63729512193649, -48.637702446489214]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'O', 'E'), 0): [-48.582679778553334, -48.582679778553334, -48.55804906592598, -48.55664728312435]
(('W', 'W', 'W', 'E', 'E', 'E', 'O', 'E', 'E'), 0): [-48.487528531406475, -48.470045574704535, -48.47187883512285, -48.48396235507772]
(('E', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-48.39498485634725, -48.39460917752239, -48.39236776818329, -48.39893348953116]
(('W', 'W', 'W', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-49.533669075130774, -49.46012432338805, -49.45759769129254, -49.44562097344102]
(('E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'), 0): [-49.810147265681614, -49.670315821019365, -49.812368556228435, -49.8112870192223]
(('O', 'E', 'E', 'O', 'E', 'E', 'O', 'E', 'E'), 0): [-48.325745295022884, -48.32689524913239, -48.39236776818329, -48.329323007455365]
